Station,Date,Time- LST,Temperature (C°)
Tel Aviv Coast,08/06/2020,20:40,23.2
Tel Aviv Coast,08/06/2020,20:50,23.2
Tel Aviv Coast,08/06/2020,21:00,23.2
Tel Aviv Coast,08/06/2020,21:10,23.1
Tel Aviv Coast,08/06/2020,21:20,23.1
Tel Aviv Coast,08/06/2020,21:30,23.1
Tel Aviv Coast,08/06/2020,21:40,23.1
Tel Aviv Coast,08/06/2020,21:50,23
Tel Aviv Coast,08/06/2020,22:00,23
Tel Aviv Coast,08/06/2020,22:10,22.9
Tel Aviv Coast,08/06/2020,22:20,22.9
Tel Aviv Coast,08/06/2020,22:30,22.9
Tel Aviv Coast,08/06/2020,22:40,22.9
Tel Aviv Coast,08/06/2020,22:50,22.8
Tel Aviv Coast,08/06/2020,23:00,22.9
Tel Aviv Coast,08/06/2020,23:10,22.8
Tel Aviv Coast,08/06/2020,23:20,22.7
Tel Aviv Coast,08/06/2020,23:30,22.7
Tel Aviv Coast,08/06/2020,23:40,22.6
Tel Aviv Coast,08/06/2020,23:50,22.5
Tel Aviv Coast,09/06/2020,0:00,22.4
Tel Aviv Coast,09/06/2020,0:10,22.5
Tel Aviv Coast,09/06/2020,0:20,22.7
Tel Aviv Coast,09/06/2020,0:30,22.8
Tel Aviv Coast,09/06/2020,0:40,22.8
Tel Aviv Coast,09/06/2020,0:50,22.8
Tel Aviv Coast,09/06/2020,1:00,22.6
Tel Aviv Coast,09/06/2020,1:10,22.7
Tel Aviv Coast,09/06/2020,1:20,22.7
Tel Aviv Coast,09/06/2020,1:30,22.6
Tel Aviv Coast,09/06/2020,1:40,22.6
Tel Aviv Coast,09/06/2020,1:50,22.6
Tel Aviv Coast,09/06/2020,2:00,22.6
Tel Aviv Coast,09/06/2020,2:10,22.7
Tel Aviv Coast,09/06/2020,2:20,22.7
Tel Aviv Coast,09/06/2020,2:30,22.6
Tel Aviv Coast,09/06/2020,2:40,22.5
Tel Aviv Coast,09/06/2020,2:50,22.4
Tel Aviv Coast,09/06/2020,3:00,22.3
Tel Aviv Coast,09/06/2020,3:10,22.3
Tel Aviv Coast,09/06/2020,3:20,22.2
Tel Aviv Coast,09/06/2020,3:30,22
Tel Aviv Coast,09/06/2020,3:40,21.6
Tel Aviv Coast,09/06/2020,3:50,21.4
Tel Aviv Coast,09/06/2020,4:00,21.3
Tel Aviv Coast,09/06/2020,4:10,21
Tel Aviv Coast,09/06/2020,4:20,21
Tel Aviv Coast,09/06/2020,4:30,21
Tel Aviv Coast,09/06/2020,4:40,21
Tel Aviv Coast,09/06/2020,4:50,20.9
Tel Aviv Coast,09/06/2020,5:00,21
Tel Aviv Coast,09/06/2020,5:10,21
Tel Aviv Coast,09/06/2020,5:20,21
Tel Aviv Coast,09/06/2020,5:30,21.2
Tel Aviv Coast,09/06/2020,5:40,21.3
Tel Aviv Coast,09/06/2020,5:50,21.5
Tel Aviv Coast,09/06/2020,6:00,21.9
Tel Aviv Coast,09/06/2020,6:10,21.8
Tel Aviv Coast,09/06/2020,6:20,22.2
Tel Aviv Coast,09/06/2020,6:30,22.4
Tel Aviv Coast,09/06/2020,6:40,22.5
Tel Aviv Coast,09/06/2020,6:50,22.7
Tel Aviv Coast,09/06/2020,7:00,23
Tel Aviv Coast,09/06/2020,7:10,23.3
Tel Aviv Coast,09/06/2020,7:20,23.3
Tel Aviv Coast,09/06/2020,7:30,23.1
Tel Aviv Coast,09/06/2020,7:40,23.6
Tel Aviv Coast,09/06/2020,7:50,23.7
Tel Aviv Coast,09/06/2020,8:00,24
Tel Aviv Coast,09/06/2020,8:10,24
Tel Aviv Coast,09/06/2020,8:20,23.6
Tel Aviv Coast,09/06/2020,8:30,24.2
Tel Aviv Coast,09/06/2020,8:40,24.4
Tel Aviv Coast,09/06/2020,8:50,24.8
Tel Aviv Coast,09/06/2020,9:00,24.7
Tel Aviv Coast,09/06/2020,9:10,24.8
Tel Aviv Coast,09/06/2020,9:20,24.6
Tel Aviv Coast,09/06/2020,9:30,24.6
Tel Aviv Coast,09/06/2020,9:40,24.5
Tel Aviv Coast,09/06/2020,9:50,24.5
Tel Aviv Coast,09/06/2020,10:00,24.8
Tel Aviv Coast,09/06/2020,10:10,24.6
Tel Aviv Coast,09/06/2020,10:20,24.2
Tel Aviv Coast,09/06/2020,10:30,24.3
Tel Aviv Coast,09/06/2020,10:40,24.9
Tel Aviv Coast,09/06/2020,10:50,24.8
Tel Aviv Coast,09/06/2020,11:00,25
Tel Aviv Coast,09/06/2020,11:10,24.8
Tel Aviv Coast,09/06/2020,11:20,24.7
Tel Aviv Coast,09/06/2020,11:30,25.2
Tel Aviv Coast,09/06/2020,11:40,25.5
Tel Aviv Coast,09/06/2020,11:50,25.6
Tel Aviv Coast,09/06/2020,12:00,25.8
Tel Aviv Coast,09/06/2020,12:10,25.8
Tel Aviv Coast,09/06/2020,12:20,25.9
Tel Aviv Coast,09/06/2020,12:30,25.7
Tel Aviv Coast,09/06/2020,12:40,25.7
Tel Aviv Coast,09/06/2020,12:50,25.7
Tel Aviv Coast,09/06/2020,13:00,25.8
Tel Aviv Coast,09/06/2020,13:10,25.8
Tel Aviv Coast,09/06/2020,13:20,25.6
Tel Aviv Coast,09/06/2020,13:30,25.5
Tel Aviv Coast,09/06/2020,13:40,25.4
Tel Aviv Coast,09/06/2020,13:50,25.5
Tel Aviv Coast,09/06/2020,14:00,25.4
Tel Aviv Coast,09/06/2020,14:10,25.4
Tel Aviv Coast,09/06/2020,14:20,25.4
Tel Aviv Coast,09/06/2020,14:30,25.2
Tel Aviv Coast,09/06/2020,14:40,24.5
Tel Aviv Coast,09/06/2020,14:50,24.8
Tel Aviv Coast,09/06/2020,15:00,25.1
Tel Aviv Coast,09/06/2020,15:10,24.4
Tel Aviv Coast,09/06/2020,15:20,24.6
Tel Aviv Coast,09/06/2020,15:30,24.4
Tel Aviv Coast,09/06/2020,15:40,24.8
Tel Aviv Coast,09/06/2020,15:50,24.4
Tel Aviv Coast,09/06/2020,16:00,24.5
Tel Aviv Coast,09/06/2020,16:10,23.9
Tel Aviv Coast,09/06/2020,16:20,23.8
Tel Aviv Coast,09/06/2020,16:30,23.8
Tel Aviv Coast,09/06/2020,16:40,23.9
Tel Aviv Coast,09/06/2020,16:50,23.8
Tel Aviv Coast,09/06/2020,17:00,23.9
Tel Aviv Coast,09/06/2020,17:10,23.7
Tel Aviv Coast,09/06/2020,17:20,23.5
Tel Aviv Coast,09/06/2020,17:30,23.5
Tel Aviv Coast,09/06/2020,17:40,23.5
Tel Aviv Coast,09/06/2020,17:50,23.5
Tel Aviv Coast,09/06/2020,18:00,23.5
Tel Aviv Coast,09/06/2020,18:10,23.3
Tel Aviv Coast,09/06/2020,18:20,23.2
Tel Aviv Coast,09/06/2020,18:30,23.2
Tel Aviv Coast,09/06/2020,18:40,23.1
Tel Aviv Coast,09/06/2020,18:50,23.2
Tel Aviv Coast,09/06/2020,19:00,23.1
Tel Aviv Coast,09/06/2020,19:10,23.1
Tel Aviv Coast,09/06/2020,19:20,23.1
Tel Aviv Coast,09/06/2020,19:30,23.1
Tel Aviv Coast,09/06/2020,19:40,23.1
Tel Aviv Coast,09/06/2020,19:50,23
Tel Aviv Coast,09/06/2020,20:00,23
Tel Aviv Coast,09/06/2020,20:10,23.1
Tel Aviv Coast,09/06/2020,20:20,23
Tel Aviv Coast,09/06/2020,20:30,23
Tel Aviv Coast,09/06/2020,20:40,22.9
Tel Aviv Coast,09/06/2020,20:50,22.9
Tel Aviv Coast,09/06/2020,21:00,22.9
Tel Aviv Coast,09/06/2020,21:10,23
Tel Aviv Coast,09/06/2020,21:20,23
Tel Aviv Coast,09/06/2020,21:30,22.9
Tel Aviv Coast,09/06/2020,21:40,22.8
Tel Aviv Coast,09/06/2020,21:50,22.8
Tel Aviv Coast,09/06/2020,22:00,22.8
Tel Aviv Coast,09/06/2020,22:10,22.7
Tel Aviv Coast,09/06/2020,22:20,22.6
Tel Aviv Coast,09/06/2020,22:30,22.7
Tel Aviv Coast,09/06/2020,22:40,22.7
Tel Aviv Coast,09/06/2020,22:50,22.8
Tel Aviv Coast,09/06/2020,23:00,22.9
Tel Aviv Coast,09/06/2020,23:10,22.7
Tel Aviv Coast,09/06/2020,23:20,22.9
Tel Aviv Coast,09/06/2020,23:30,22.6
Tel Aviv Coast,09/06/2020,23:40,22.5
Tel Aviv Coast,09/06/2020,23:50,22.5
Tel Aviv Coast,10/06/2020,0:00,22.6
Tel Aviv Coast,10/06/2020,0:10,22.6
Tel Aviv Coast,10/06/2020,0:20,22.6
Tel Aviv Coast,10/06/2020,0:30,22.7
Tel Aviv Coast,10/06/2020,0:40,22.6
Tel Aviv Coast,10/06/2020,0:50,22.7
Tel Aviv Coast,10/06/2020,1:00,22.8
Tel Aviv Coast,10/06/2020,1:10,22.8
Tel Aviv Coast,10/06/2020,1:20,22.8
Tel Aviv Coast,10/06/2020,1:30,22.7
Tel Aviv Coast,10/06/2020,1:40,22.6
Tel Aviv Coast,10/06/2020,1:50,22.5
Tel Aviv Coast,10/06/2020,2:00,22.5
Tel Aviv Coast,10/06/2020,2:10,22.4
Tel Aviv Coast,10/06/2020,2:20,22.4
Tel Aviv Coast,10/06/2020,2:30,22.3
Tel Aviv Coast,10/06/2020,2:40,22.5
Tel Aviv Coast,10/06/2020,2:50,22.4
Tel Aviv Coast,10/06/2020,3:00,22.4
Tel Aviv Coast,10/06/2020,3:10,22.3
Tel Aviv Coast,10/06/2020,3:20,22.4
Tel Aviv Coast,10/06/2020,3:30,22.5
Tel Aviv Coast,10/06/2020,3:40,22.6
Tel Aviv Coast,10/06/2020,3:50,22.5
Tel Aviv Coast,10/06/2020,4:00,22.5
Tel Aviv Coast,10/06/2020,4:10,22.3
Tel Aviv Coast,10/06/2020,4:20,22.3
Tel Aviv Coast,10/06/2020,4:30,22.1
Tel Aviv Coast,10/06/2020,4:40,22
Tel Aviv Coast,10/06/2020,4:50,21.9
Tel Aviv Coast,10/06/2020,5:00,21.9
Tel Aviv Coast,10/06/2020,5:10,22
Tel Aviv Coast,10/06/2020,5:20,21.9
Tel Aviv Coast,10/06/2020,5:30,22
Tel Aviv Coast,10/06/2020,5:40,22
Tel Aviv Coast,10/06/2020,5:50,22.1
Tel Aviv Coast,10/06/2020,6:00,22.2
Tel Aviv Coast,10/06/2020,6:10,22.5
Tel Aviv Coast,10/06/2020,6:20,22.7
Tel Aviv Coast,10/06/2020,6:30,22.9
Tel Aviv Coast,10/06/2020,6:40,23.2
Tel Aviv Coast,10/06/2020,6:50,22.8
Tel Aviv Coast,10/06/2020,7:00,22.9
Tel Aviv Coast,10/06/2020,7:10,22.8
Tel Aviv Coast,10/06/2020,7:20,23.4
Tel Aviv Coast,10/06/2020,7:30,23.7
Tel Aviv Coast,10/06/2020,7:40,23.7
Tel Aviv Coast,10/06/2020,7:50,23.5
Tel Aviv Coast,10/06/2020,8:00,23.8
Tel Aviv Coast,10/06/2020,8:10,24.3
Tel Aviv Coast,10/06/2020,8:20,24.3
Tel Aviv Coast,10/06/2020,8:30,24.5
Tel Aviv Coast,10/06/2020,8:40,24.6
Tel Aviv Coast,10/06/2020,8:50,24.6
Tel Aviv Coast,10/06/2020,9:00,24.7
Tel Aviv Coast,10/06/2020,9:10,24.8
Tel Aviv Coast,10/06/2020,9:20,24.9
Tel Aviv Coast,10/06/2020,9:30,25.1
Tel Aviv Coast,10/06/2020,9:40,25.2
Tel Aviv Coast,10/06/2020,9:50,25
Tel Aviv Coast,10/06/2020,10:00,25.1
Tel Aviv Coast,10/06/2020,10:10,25.1
Tel Aviv Coast,10/06/2020,10:20,25
Tel Aviv Coast,10/06/2020,10:30,25
Tel Aviv Coast,10/06/2020,10:40,24.7
Tel Aviv Coast,10/06/2020,10:50,24.7
Tel Aviv Coast,10/06/2020,11:00,24.9
Tel Aviv Coast,10/06/2020,11:10,24.9
Tel Aviv Coast,10/06/2020,11:20,25.2
Tel Aviv Coast,10/06/2020,11:30,25
Tel Aviv Coast,10/06/2020,11:40,24.8
Tel Aviv Coast,10/06/2020,11:50,24.5
Tel Aviv Coast,10/06/2020,12:00,24.4
Tel Aviv Coast,10/06/2020,12:10,24.4
Tel Aviv Coast,10/06/2020,12:20,24.2
Tel Aviv Coast,10/06/2020,12:30,24.3
Tel Aviv Coast,10/06/2020,12:40,24.8
Tel Aviv Coast,10/06/2020,12:50,24.5
Tel Aviv Coast,10/06/2020,13:00,24.5
Tel Aviv Coast,10/06/2020,13:10,24.8
Tel Aviv Coast,10/06/2020,13:20,24.7
Tel Aviv Coast,10/06/2020,13:30,25.4
Tel Aviv Coast,10/06/2020,13:40,25.5
Tel Aviv Coast,10/06/2020,13:50,25.5
Tel Aviv Coast,10/06/2020,14:00,25.6
Tel Aviv Coast,10/06/2020,14:10,25.5
Tel Aviv Coast,10/06/2020,14:20,25.7
Tel Aviv Coast,10/06/2020,14:30,25.9
Tel Aviv Coast,10/06/2020,14:40,26.1
Tel Aviv Coast,10/06/2020,14:50,25.9
Tel Aviv Coast,10/06/2020,15:00,26
Tel Aviv Coast,10/06/2020,15:10,25.7
Tel Aviv Coast,10/06/2020,15:20,25.4
Tel Aviv Coast,10/06/2020,15:30,25.5
Tel Aviv Coast,10/06/2020,15:40,25.3
Tel Aviv Coast,10/06/2020,15:50,25.3
Tel Aviv Coast,10/06/2020,16:00,25.4
Tel Aviv Coast,10/06/2020,16:10,25.2
Tel Aviv Coast,10/06/2020,16:20,24.8
Tel Aviv Coast,10/06/2020,16:30,24.8
Tel Aviv Coast,10/06/2020,16:40,24.5
Tel Aviv Coast,10/06/2020,16:50,24.4
Tel Aviv Coast,10/06/2020,17:00,24.5
Tel Aviv Coast,10/06/2020,17:10,24.2
Tel Aviv Coast,10/06/2020,17:20,24.1
Tel Aviv Coast,10/06/2020,17:30,23.9
Tel Aviv Coast,10/06/2020,17:40,23.8
Tel Aviv Coast,10/06/2020,17:50,23.7
Tel Aviv Coast,10/06/2020,18:00,23.6
Tel Aviv Coast,10/06/2020,18:10,23.7
Tel Aviv Coast,10/06/2020,18:20,23.5
Tel Aviv Coast,10/06/2020,18:30,23.5
Tel Aviv Coast,10/06/2020,18:40,23.5
Tel Aviv Coast,10/06/2020,18:50,23.4
Tel Aviv Coast,10/06/2020,19:00,23.4
Tel Aviv Coast,10/06/2020,19:10,23.4
Tel Aviv Coast,10/06/2020,19:20,23.3
Tel Aviv Coast,10/06/2020,19:30,23.3
Tel Aviv Coast,10/06/2020,19:40,23.3
Tel Aviv Coast,10/06/2020,19:50,23.2
Tel Aviv Coast,10/06/2020,20:00,23.2
Tel Aviv Coast,10/06/2020,20:10,23.2
Tel Aviv Coast,10/06/2020,20:20,23.2
Tel Aviv Coast,10/06/2020,20:30,23.2
Tel Aviv Coast,10/06/2020,20:40,23.2
Tel Aviv Coast,10/06/2020,20:50,23.3
Tel Aviv Coast,10/06/2020,21:00,23.4
Tel Aviv Coast,10/06/2020,21:10,23.6
Tel Aviv Coast,10/06/2020,21:20,23.7
Tel Aviv Coast,10/06/2020,21:30,23.8
Tel Aviv Coast,10/06/2020,21:40,23.8
Tel Aviv Coast,10/06/2020,21:50,23.7
Tel Aviv Coast,10/06/2020,22:00,23.7
Tel Aviv Coast,10/06/2020,22:10,23.7
Tel Aviv Coast,10/06/2020,22:20,23.5
Tel Aviv Coast,10/06/2020,22:30,23.5
Tel Aviv Coast,10/06/2020,22:40,23.5
Tel Aviv Coast,10/06/2020,22:50,23.4
Tel Aviv Coast,10/06/2020,23:00,23.4
Tel Aviv Coast,10/06/2020,23:10,23.4
Tel Aviv Coast,10/06/2020,23:20,23.5
Tel Aviv Coast,10/06/2020,23:30,23.5
Tel Aviv Coast,10/06/2020,23:40,23.5
Tel Aviv Coast,10/06/2020,23:50,23.4
Tel Aviv Coast,11/06/2020,0:00,23.3
Tel Aviv Coast,11/06/2020,0:10,23.1
Tel Aviv Coast,11/06/2020,0:20,22.9
Tel Aviv Coast,11/06/2020,0:30,22.8
Tel Aviv Coast,11/06/2020,0:40,22.9
Tel Aviv Coast,11/06/2020,0:50,22.9
Tel Aviv Coast,11/06/2020,1:00,22.9
Tel Aviv Coast,11/06/2020,1:10,22.9
Tel Aviv Coast,11/06/2020,1:20,22.8
Tel Aviv Coast,11/06/2020,1:30,22.9
Tel Aviv Coast,11/06/2020,1:40,22.8
Tel Aviv Coast,11/06/2020,1:50,22.9
Tel Aviv Coast,11/06/2020,2:00,22.9
Tel Aviv Coast,11/06/2020,2:10,22.8
Tel Aviv Coast,11/06/2020,2:20,22.8
Tel Aviv Coast,11/06/2020,2:30,22.6
Tel Aviv Coast,11/06/2020,2:40,22.6
Tel Aviv Coast,11/06/2020,2:50,22.3
Tel Aviv Coast,11/06/2020,3:00,22.1
Tel Aviv Coast,11/06/2020,3:10,22
Tel Aviv Coast,11/06/2020,3:20,21.9
Tel Aviv Coast,11/06/2020,3:30,22
Tel Aviv Coast,11/06/2020,3:40,22.1
Tel Aviv Coast,11/06/2020,3:50,22
Tel Aviv Coast,11/06/2020,4:00,22
Tel Aviv Coast,11/06/2020,4:10,22.1
Tel Aviv Coast,11/06/2020,4:20,22.1
Tel Aviv Coast,11/06/2020,4:30,22.1
Tel Aviv Coast,11/06/2020,4:40,22.3
Tel Aviv Coast,11/06/2020,4:50,22.1
Tel Aviv Coast,11/06/2020,5:00,22
Tel Aviv Coast,11/06/2020,5:10,21.7
Tel Aviv Coast,11/06/2020,5:20,21.6
Tel Aviv Coast,11/06/2020,5:30,21.6
Tel Aviv Coast,11/06/2020,5:40,21.5
Tel Aviv Coast,11/06/2020,5:50,21.3
Tel Aviv Coast,11/06/2020,6:00,21.4
Tel Aviv Coast,11/06/2020,6:10,21.7
Tel Aviv Coast,11/06/2020,6:20,22
Tel Aviv Coast,11/06/2020,6:30,22.1
Tel Aviv Coast,11/06/2020,6:40,22.4
Tel Aviv Coast,11/06/2020,6:50,22.6
Tel Aviv Coast,11/06/2020,7:00,23
Tel Aviv Coast,11/06/2020,7:10,23.2
Tel Aviv Coast,11/06/2020,7:20,23.6
Tel Aviv Coast,11/06/2020,7:30,23.8
Tel Aviv Coast,11/06/2020,7:40,24.1
Tel Aviv Coast,11/06/2020,7:50,24.4
Tel Aviv Coast,11/06/2020,8:00,24.6
Tel Aviv Coast,11/06/2020,8:10,24.8
Tel Aviv Coast,11/06/2020,8:20,24.6
Tel Aviv Coast,11/06/2020,8:30,24.6
Tel Aviv Coast,11/06/2020,8:40,24.8
Tel Aviv Coast,11/06/2020,8:50,24.8
Tel Aviv Coast,11/06/2020,9:00,24.5
Tel Aviv Coast,11/06/2020,9:10,24.8
Tel Aviv Coast,11/06/2020,9:20,24.8
Tel Aviv Coast,11/06/2020,9:30,24.8
Tel Aviv Coast,11/06/2020,9:40,25
Tel Aviv Coast,11/06/2020,9:50,25.1
Tel Aviv Coast,11/06/2020,10:00,25.3
Tel Aviv Coast,11/06/2020,10:10,25.3
Tel Aviv Coast,11/06/2020,10:20,25.3
Tel Aviv Coast,11/06/2020,10:30,25.5
Tel Aviv Coast,11/06/2020,10:40,25.4
Tel Aviv Coast,11/06/2020,10:50,25.3
Tel Aviv Coast,11/06/2020,11:00,25.3
Tel Aviv Coast,11/06/2020,11:10,25.4
Tel Aviv Coast,11/06/2020,11:20,25.7
Tel Aviv Coast,11/06/2020,11:30,25.6
Tel Aviv Coast,11/06/2020,11:40,25.6
Tel Aviv Coast,11/06/2020,11:50,25.6
Tel Aviv Coast,11/06/2020,12:00,25.3
Tel Aviv Coast,11/06/2020,12:10,25
Tel Aviv Coast,11/06/2020,12:20,24.8
Tel Aviv Coast,11/06/2020,12:30,25.2
Tel Aviv Coast,11/06/2020,12:40,25.3
Tel Aviv Coast,11/06/2020,12:50,25.4
Tel Aviv Coast,11/06/2020,13:00,25.7
Tel Aviv Coast,11/06/2020,13:10,25.9
Tel Aviv Coast,11/06/2020,13:20,25.5
Tel Aviv Coast,11/06/2020,13:30,25.7
Tel Aviv Coast,11/06/2020,13:40,26.1
Tel Aviv Coast,11/06/2020,13:50,25.9
Tel Aviv Coast,11/06/2020,14:00,26.3
Tel Aviv Coast,11/06/2020,14:10,26.4
Tel Aviv Coast,11/06/2020,14:20,26.1
Tel Aviv Coast,11/06/2020,14:30,26.4
Tel Aviv Coast,11/06/2020,14:40,26
Tel Aviv Coast,11/06/2020,14:50,26.1
Tel Aviv Coast,11/06/2020,15:00,26.3
Tel Aviv Coast,11/06/2020,15:10,26
Tel Aviv Coast,11/06/2020,15:20,25.9
Tel Aviv Coast,11/06/2020,15:30,25.5
Tel Aviv Coast,11/06/2020,15:40,25.7
Tel Aviv Coast,11/06/2020,15:50,25.7
Tel Aviv Coast,11/06/2020,16:00,25.7
Tel Aviv Coast,11/06/2020,16:10,25.8
Tel Aviv Coast,11/06/2020,16:20,25.8
Tel Aviv Coast,11/06/2020,16:30,25.7
Tel Aviv Coast,11/06/2020,16:40,25.5
Tel Aviv Coast,11/06/2020,16:50,25.2
Tel Aviv Coast,11/06/2020,17:00,25.4
Tel Aviv Coast,11/06/2020,17:10,25.3
Tel Aviv Coast,11/06/2020,17:20,25.2
Tel Aviv Coast,11/06/2020,17:30,25.1
Tel Aviv Coast,11/06/2020,17:40,25
Tel Aviv Coast,11/06/2020,17:50,25
Tel Aviv Coast,11/06/2020,18:00,24.8
Tel Aviv Coast,11/06/2020,18:10,24.7
Tel Aviv Coast,11/06/2020,18:20,24.6
Tel Aviv Coast,11/06/2020,18:30,24.4
Tel Aviv Coast,11/06/2020,18:40,24.3
Tel Aviv Coast,11/06/2020,18:50,24.1
Tel Aviv Coast,11/06/2020,19:00,23.9
Tel Aviv Coast,11/06/2020,19:10,23.8
Tel Aviv Coast,11/06/2020,19:20,23.8
Tel Aviv Coast,11/06/2020,19:30,23.8
Tel Aviv Coast,11/06/2020,19:40,23.7
Tel Aviv Coast,11/06/2020,19:50,23.7
Tel Aviv Coast,11/06/2020,20:00,23.6
Tel Aviv Coast,11/06/2020,20:10,23.6
Tel Aviv Coast,11/06/2020,20:20,23.5
Tel Aviv Coast,11/06/2020,20:30,23.5
Tel Aviv Coast,11/06/2020,20:40,23.5
Tel Aviv Coast,11/06/2020,20:50,23.4
Tel Aviv Coast,11/06/2020,21:00,23.5
Tel Aviv Coast,11/06/2020,21:10,23.3
Tel Aviv Coast,11/06/2020,21:20,23.6
Tel Aviv Coast,11/06/2020,21:30,23.6
Tel Aviv Coast,11/06/2020,21:40,23.8
Tel Aviv Coast,11/06/2020,21:50,23.7
Tel Aviv Coast,11/06/2020,22:00,23.7
Tel Aviv Coast,11/06/2020,22:10,23.7
Tel Aviv Coast,11/06/2020,22:20,23.5
Tel Aviv Coast,11/06/2020,22:30,23.5
Tel Aviv Coast,11/06/2020,22:40,23.5
Tel Aviv Coast,11/06/2020,22:50,23.6
Tel Aviv Coast,11/06/2020,23:00,23.6
Tel Aviv Coast,11/06/2020,23:10,23.6
Tel Aviv Coast,11/06/2020,23:20,23.6
Tel Aviv Coast,11/06/2020,23:30,23.5
Tel Aviv Coast,11/06/2020,23:40,23.6
Tel Aviv Coast,11/06/2020,23:50,23.6
Tel Aviv Coast,12/06/2020,0:00,23.7
Tel Aviv Coast,12/06/2020,0:10,23.6
Tel Aviv Coast,12/06/2020,0:20,23.6
Tel Aviv Coast,12/06/2020,0:30,23.6
Tel Aviv Coast,12/06/2020,0:40,23.5
Tel Aviv Coast,12/06/2020,0:50,23.5
Tel Aviv Coast,12/06/2020,1:00,23.4
Tel Aviv Coast,12/06/2020,1:10,23.4
Tel Aviv Coast,12/06/2020,1:20,23.4
Tel Aviv Coast,12/06/2020,1:30,23.4
Tel Aviv Coast,12/06/2020,1:40,23.5
Tel Aviv Coast,12/06/2020,1:50,23.4
Tel Aviv Coast,12/06/2020,2:00,23.4
Tel Aviv Coast,12/06/2020,2:10,23.4
Tel Aviv Coast,12/06/2020,2:20,23.3
Tel Aviv Coast,12/06/2020,2:30,23.1
Tel Aviv Coast,12/06/2020,2:40,22.7
Tel Aviv Coast,12/06/2020,2:50,22.5
Tel Aviv Coast,12/06/2020,3:00,22.3
Tel Aviv Coast,12/06/2020,3:10,22.1
Tel Aviv Coast,12/06/2020,3:20,22
Tel Aviv Coast,12/06/2020,3:30,21.8
Tel Aviv Coast,12/06/2020,3:40,21.8
Tel Aviv Coast,12/06/2020,3:50,21.6
Tel Aviv Coast,12/06/2020,4:00,21.5
Tel Aviv Coast,12/06/2020,4:10,21.5
Tel Aviv Coast,12/06/2020,4:20,21.4
Tel Aviv Coast,12/06/2020,4:30,21.4
Tel Aviv Coast,12/06/2020,4:40,21.4
Tel Aviv Coast,12/06/2020,4:50,21.4
Tel Aviv Coast,12/06/2020,5:00,21.3
Tel Aviv Coast,12/06/2020,5:10,21.3
Tel Aviv Coast,12/06/2020,5:20,21.3
Tel Aviv Coast,12/06/2020,5:30,21.5
Tel Aviv Coast,12/06/2020,5:40,21.7
Tel Aviv Coast,12/06/2020,5:50,21.7
